Chen2007
CODASYL1971
devivo2010
duranti1989
Furner2016
Green2007
Hull1987,Q57754496
Kent1978,Q25625532
Otlet1934,Q7833050
Peckham1988,Q57754498
Pedauque2007,Q56741037
Q25625532
RDAONIX2006
SchmandtBesserat1996,Q57532821
Simsion2007,Q25809164
Steel1975
Steel1975b
Whorf1956,Q57628579
yale2015
